Make_and Model,Year,Original_Price
Mercedes-Benz C-Class Progressive C 220d,2019,35.67
Audi A6 2011-2015 35 TDI Premium,2018,39.58
Mercedes-Benz SLC 43 AMG,2017,54.0
Audi RS5 Coupe,2013,37.0
BMW X5 xDrive 30d,2015,45.0
Mercedes-Benz GLC 220,2016,42.5
Land Rover Range Rover 2.2L Dynamic,2018,55.76
Audi A8 L 3.0 TDI quattro,2012,45.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.41
Mini Cooper Convertible S,2017,35.67
Mercedes-Benz GLE 350d,2017,61.29
BMW X3 xDrive30d M Sport,2017,45.77
Audi Q7 3.0 TDI Quattro Technology,2018,70.36
Mercedes-Benz GLE 250d,2017,57.0
Land Rover Range Rover HSE Dynamic,2017,44.0
BMW 6 Series 640d Gran Coupe,2011,49.0
Audi Q7 45 TDI Quattro Technology,2017,62.67
Jaguar XF 2.0 Diesel Portfolio,2017,52.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,37.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,2017,62.81
Land Rover Range Rover 2.2L Prestige,2017,53.83
Mercedes-Benz GLC 43 AMG Coupe,2018,70.99
Audi Q5 30 TDI quattro Premium Plus,2014,39.0
BMW 3 Series Luxury Line,2016,36.5
Audi Q7 4.2 TDI Quattro Technology,2016,48.91
Mercedes-Benz E-Class E 220 d,2018,51.43
Mercedes-Benz GLS 350d 4MATIC,2017,56.0
Land Rover Range Rover HSE Dynamic,2017,45.64
Audi A6 2011-2015 35 TDI Technology,2017,37.56
Mercedes-Benz New C-Class Progressive C 200,2019,38.99
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,44.0
Jaguar XF 2.2 Litre Executive,2016,44.0
Mercedes-Benz GLC 220d 4MATIC Style,2018,48.5
BMW 5 Series 2013-2017 530d M Sport,2016,44.56
BMW 5 Series 2013-2017 520d Luxury Line,2016,35.84
Mercedes-Benz New C-Class C 250 CDI Avantgarde,2017,37.93
Jaguar XJ 2.0L Portfolio,2017,75.0
Mercedes-Benz SLK-Class SLK 350,2016,55.54
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,36.0
BMW X5 xDrive 30d Design Pure Experience 5 Seater,2015,54.0
Audi Q7 3.0 TDI Quattro Premium Plus,2015,43.35
Jaguar XF 2.2 Litre Luxury,2016,35.68
BMW 3 Series 320d Luxury Line,2016,35.55
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.47
Mercedes-Benz SLK-Class SLK 350,2015,55.0
Mercedes-Benz GLE 250d,2016,56.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,41.5
Mercedes-Benz E-Class Facelift,2018,50.29
Audi Q5 30 TDI quattro Premium,2017,43.74
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,58.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,59.72
Mercedes-Benz C-Class Progressive C 220d,2018,39.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,38.75
Land Rover Range Rover TDV8 (Diesel),2011,67.0
Porsche Boxster S tiptronic,2015,64.0
Audi Q7 4.2 TDI Quattro Technology,2014,51.0
Audi Q7 3.0 TDI Quattro Premium Plus,2015,38.94
Mercedes-Benz E-Class E 220 d,2018,51.35
BMW 5 Series 2013-2017 530d M Sport,2015,44.0
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,2017,69.5
Audi Q7 35 TDI Quattro Premium Plus,2015,38.0
Jaguar XE 2.0L Diesel Prestige,2018,40.0
Audi Q5 3.0 TDI Quattro,2018,45.62
Mercedes-Benz M-Class ML 350 4Matic,2014,43.0
Audi Q7 45 TDI Quattro Technology,2016,67.0
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,2012,70.0
Mercedes-Benz E-Class 2015-2017 E350 Edition E,2015,42.0
BMW 5 Series 520d Sport Line,2019,45.86
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,43.78
Land Rover Range Rover Sport 2005 2012 Sport,2008,40.88
Audi Q5 2.0 TDI Premium Plus,2016,39.5
Jaguar XJ 3.0L Portfolio LWB,2016,58.73
Land Rover Range Rover Sport SE,2019,97.07
Audi Q5 2008-2012 3.0 TDI,2014,44.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2014,49.0
Audi Q7 35 TDI Quattro Technology,2015,48.0
Land Rover Discovery Sport TD4 HSE 7S,2017,41.5
Audi Q7 45 TDI Quattro Premium Plus,2019,72.94
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2013,36.0
Jaguar XE 2.0L Diesel Prestige,2017,38.0
BMW 5 Series 520d Luxury Line,2018,37.3
Mercedes-Benz GLE 350d,2018,70.8
BMW X6 xDrive 40d,2013,48.0
Porsche Cayenne Diesel,2013,40.0
Mercedes-Benz M-Class ML 350 4Matic,2015,38.0
Mercedes-Benz M-Class ML 350 CDI,2012,36.0
Mercedes-Benz GLE 350d,2017,64.87
BMW 5 Series 2013-2017 520d Luxury Line,2017,40.5
Audi Q5 30 TDI quattro Premium Plus,2014,38.95
Mercedes-Benz GLS 350d Grand Edition,2018,79.0
BMW 5 Series 2013-2017 530d M Sport,2017,48.63
Audi Q5 30 TDI quattro Premium Plus,2015,39.47
BMW 7 Series 740Li,2018,93.67
BMW 7 Series 740Li,2017,93.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2014,41.0
BMW 7 Series 730Ld Eminence,2015,43.6
BMW 6 Series 640d Coupe,2013,45.0
Mercedes-Benz SLC 43 AMG,2019,83.96
Mercedes-Benz GLE 250d,2017,56.73
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.45
Audi Q7 3.0 TDI Quattro Technology,2012,36.5
Mercedes-Benz New C-Class C 250 CDI Avantgarde,2017,38.5
Land Rover Discovery HSE Luxury 3.0 TD6,2017,41.6
BMW 5 Series 2013-2017 520d M Sport,2018,46.0
BMW X6 xDrive30d,2013,42.5
Land Rover Range Rover Sport 2005 2012 HSE,2010,40.0
BMW X5 xDrive 30d,2016,54.45
Mercedes-Benz E-Class E 350 d,2019,78.8
BMW X5 xDrive 30d M Sport,2017,65.0
Mercedes-Benz M-Class ML 250 CDI,2016,45.61
Jaguar XJ 3.0L Portfolio,2016,79.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.22
Mercedes-Benz GLC 220d 4MATIC Sport,2017,45.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2017,38.5
Audi Q7 3.0 TDI Quattro Premium Plus,2012,39.0
Mercedes-Benz E-Class E 220 d,2018,56.5
BMW 6 Series Gran Coupe,2013,44.0
Land Rover Discovery SE 3.0 TD6,2016,36.75
Audi Q7 35 TDI Quattro Technology,2016,53.11
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,2018,70.15
BMW X6 xDrive 40d M Sport,2016,60.0
Audi Q7 35 TDI Quattro Technology,2015,52.5
Porsche Panamera Diesel,2015,75.0
Porsche Panamera Diesel 250hp,2014,51.52
Mini Cooper Convertible S,2017,35.98
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.62
Mercedes-Benz GLE 350d,2018,59.29
BMW X5 X5 M,2015,50.0
Mercedes-Benz GLE 350d,2017,64.95
Audi Q7 35 TDI Quattro Premium Plus,2016,39.0
Porsche Panamera Diesel,2013,50.5
Jaguar XJ 3.0L Portfolio,2015,75.0
Land Rover Range Rover HSE Dynamic,2018,44.83
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.51
Porsche Panamera 2010 2013 4S,2010,42.91
BMW 5 Series 2013-2017 530d M Sport,2016,47.7
Mini Cooper S Carbon Edition,2018,39.75
Land Rover Discovery Sport TD4 HSE,2019,55.7
Mercedes-Benz New C-Class C 220 CDI Style,2017,37.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,56.0
Jaguar XF Diesel,2016,36.15
Ford Endeavour 3.2 Titanium AT 4X4,2019,35.5
Mercedes-Benz M-Class ML 350 4Matic,2016,49.22
Land Rover Range Rover 2.2L Dynamic,2015,39.75
Land Rover Range Rover Vogue SE 4.4 SDV8,2012,65.0
Mercedes-Benz E-Class E400 Cabriolet,2015,48.0
Mercedes-Benz GLE 350d,2018,59.65
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2015,43.0
BMW 5 Series 2003-2012 530d,2016,45.73
Porsche Panamera Diesel,2013,75.0
Jaguar XJ 3.0L Premium Luxury,2012,45.0
Land Rover Discovery Sport SD4 HSE Luxury 7S,2016,44.5
Audi A6 35 TDI Matrix,2017,39.84
Audi Q5 3.0 TDI Quattro Technology,2017,36.83
Mercedes-Benz E-Class E250 CDI Avantgrade,2016,35.28
Mercedes-Benz New C-Class C 220 CDI Style,2017,36.0
Mercedes-Benz GLC 220d 4MATIC Style,2019,50.97
Land Rover Range Rover Sport HSE,2015,70.66
Audi A6 35 TFSI Matrix,2018,41.5
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,39.05
Audi Q7 35 TDI Quattro Technology,2016,48.76
Jaguar XF 2.2 Litre Luxury,2018,52.5
Audi RS5 Coupe,2013,40.5
Jaguar XF 2.2 Litre Luxury,2015,38.0
Land Rover Range Rover 3.0 Diesel LWB Vogue,2017,160.0
BMW X5 xDrive 30d M Sport,2016,57.0
Audi Q5 30 TDI quattro Premium Plus,2015,36.0
Toyota Fortuner 2.8 2WD MT,2019,35.82
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,38.15
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2015,56.0
Porsche Panamera Diesel,2015,60.95
BMW X6 xDrive30d,2014,40.66
Audi Q7 35 TDI Quattro Technology,2016,50.22
BMW 6 Series Gran Coupe,2018,68.94
Porsche Cayenne Diesel,2015,45.82
BMW 7 Series 730Ld,2014,52.0
Audi Q7 4.2 TDI Quattro Technology,2015,48.0
Mercedes-Benz M-Class ML 350 4Matic,2016,49.24
Mercedes-Benz New C-Class C220 CDI Executive Edition,2019,37.99
Audi Q7 3.0 TDI Quattro Technology,2014,45.0
Ford Mustang V8,2018,56.8
Audi Q7 3.0 TDI Quattro Premium Plus,2015,47.5
Jaguar XF 2.2 Litre Executive,2015,38.0
Mercedes-Benz GLE 350d,2016,65.0
Audi Q5 30 TDI quattro Premium Plus,2016,38.72
BMW X1 sDrive 20d xLine,2019,36.64
BMW X5 X5 M,2017,70.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2015,52.0
Mercedes-Benz SLK-Class 55 AMG,2014,90.0
Mercedes-Benz M-Class ML 350 4Matic,2015,47.35
BMW X3 xDrive30d M Sport,2016,45.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2016,42.0
BMW 7 Series 2007-2012 730Ld,2009,36.0
BMW 3 Series Luxury Line,2018,37.92
BMW 6 Series 630i Coupe,2011,47.5
Audi A4 35 TDI Technology,2017,43.0
Land Rover Range Rover 3.6 TDV8 Vogue SE,2012,52.54
Mercedes-Benz M-Class ML 250 CDI,2014,45.0
BMW Z4 2009-2013 Roadster 2.5i,2018,58.54
Mercedes-Benz GLC 220d 4MATIC Style,2017,46.95
Audi A6 2011-2015 35 TDI Technology,2015,36.0
Audi Q7 4.2 TDI Quattro Technology,2015,51.69
BMW 5 Series 530d M Sport,2016,48.0
BMW X3 xDrive20d,2016,41.75
Audi Q7 45 TDI Quattro Technology,2017,68.0
Land Rover Discovery Sport TD4 HSE 7S,2019,56.14
Land Rover Discovery Sport SD4 HSE Luxury 7S,2019,58.91
Jaguar XJ 5.0 L V8 Supercharged,2011,50.66
Mercedes-Benz GLC 220d Celebration Edition,2017,40.47
Mercedes-Benz GLE 250d,2016,49.0
Mercedes-Benz GLE 350d,2016,60.75
Audi Q7 3.0 TDI Quattro Premium Plus,2014,37.9
Audi Q7 3.0 TDI Quattro Premium Plus,2016,49.79
Audi A6 35 TDI Matrix,2015,35.5
Porsche Cayenne S Diesel,2016,67.83
Land Rover Range Rover 2.2L Prestige,2015,36.0
Land Rover Range Rover Vogue SE 4.4 SDV8,2013,65.81
Land Rover Range Rover HSE Dynamic,2018,44.76
Porsche Cayenne 2009-2014 Diesel,2015,48.22
BMW X3 xDrive 20d Luxury Line,2018,61.25
Bentley Continental Flying Spur,2006,59.0
BMW X6 xDrive 40d M Sport,2015,85.0
Land Rover Range Rover Sport SE,2014,64.75
BMW 3 Series Luxury Line,2017,35.84
Porsche Panamera 2010 2013 Diesel,2013,72.0
BMW 5 Series 520d Sport Line,2017,42.75
Mercedes-Benz CLA 200 D Sport Edition,2019,36.76
BMW 7 Series 730Ld,2013,45.0
BMW X5 xDrive 30d M Sport,2017,55.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2018,37.98
Audi Q7 3.0 TDI Quattro Premium Plus,2015,42.83
BMW 6 Series Gran Coupe,2013,45.0
Lamborghini Gallardo Coupe,2011,120.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2016,38.76
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2013,38.0
Audi A6 2011-2015 35 TDI Technology,2017,35.92
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2015,48.5
Mercedes-Benz GLC 220,2017,43.3
Jaguar F Type 5.0 V8 S,2015,100.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2016,36.0
Audi Q5 3.0 TDI Quattro Technology,2018,45.52
BMW 5 Series 2013-2017 530d M Sport,2016,48.0
Porsche Panamera Diesel,2013,45.0
